Województwo,"Rodzaj produktu rolnego, środka spożywczego lub napoju spirytusowego wpisanego na lpt","Nazwa produktu rolnego, środka spożywczego lub napoju spirytusowego wpisanego na lpt",Data wpisu na lpt
opolskie,"Orzechy, nasiona, zboża, warzywa i owoce (przetworzone i nie)",Modro kapusta (tj. kapusta czerwona),2007-01-19
opolskie,Wyroby piekarnicze i cukiernicze,Chleb gogoliński,2007-01-19
opolskie,Gotowe dania i potrawy,Wodzionka,2007-02-06
opolskie,Mięso świeże oraz produkty mięsne,Krupnioki z Górek,2007-02-06
opolskie,Mięso świeże oraz produkty mięsne,Zymloki z Górek / bułczanka z Górek,2007-02-06
opolskie,Mięso świeże oraz produkty mięsne,Leberwurst drobno mielony z Górek / wątrobianka z Górek,2007-02-06
opolskie,Mięso świeże oraz produkty mięsne,Leberwurst grubo mielony z Górek / pasztetowa z Górek,2007-02-06
opolskie,Mięso świeże oraz produkty mięsne,Salceson ozorkowy z Górek / presswurst ozorkowy z Górek,2007-02-06
opolskie,Mięso świeże oraz produkty mięsne,Salceson biały z Górek / presswurst biały z Górek,2007-02-06
opolskie,Gotowe dania i potrawy,Ścierka opolska,2007-02-07
opolskie,Wyroby piekarnicze i cukiernicze,Śliszki – potrawa wigilijna,2007-02-07
opolskie,Gotowe dania i potrawy,"Germuszka (zwana też warmuszką, biermuszką)",2007-03-05
opolskie,Wyroby piekarnicze i cukiernicze,Kołocz śląski,2007-03-05
opolskie,Wyroby piekarnicze i cukiernicze,Kretowina – ciasto biszkoptowe o smaku czekoladowym,2007-03-05
opolskie,Wyroby piekarnicze i cukiernicze,"Buchty śląskie, czyli kluski drożdżowe gotowane na parze",2007-03-06
opolskie,Mięso świeże oraz produkty mięsne,Żymlok opolski biały,2007-03-08
opolskie,Gotowe dania i potrawy,Siemieniotka,2007-05-14
opolskie,Gotowe dania i potrawy,Śląski żur na maślance,2007-05-14
opolskie,Gotowe dania i potrawy,Śląskie niebo,2007-05-14
opolskie,Inne produkty,Tej ziołowy,2007-05-14
opolskie,Inne produkty,Kroszonka opolska,2007-08-30
opolskie,"Orzechy, nasiona, zboża, warzywa i owoce (przetworzone i nie)",Kapusta kiszona z Bobrowy ,2007-09-04
opolskie,Napoje (alkoholowe i bezalkoholowe),Piwo miodowe,2007-10-30
opolskie,Miody,Miody Popielowskie z Borów Stobrawskich,2007-11-14
opolskie,Wyroby piekarnicze i cukiernicze,Opolskie ciasteczka ze skwarek (szpyrek),2007-12-21
opolskie,"Produkty rybołówstwa, w tym ryby ",Harynki w cebulowej zołzie,2008-01-03
opolskie,Inne produkty,Makaron domowy z Makowic,2009-06-15
opolskie,Wyroby piekarnicze i cukiernicze,Krajanki,2010-08-12
opolskie,Miody,Miody rudnickie,2010-09-15
opolskie,Gotowe dania i potrawy,Oberiba na gęsto,2010-12-01
opolskie,Wyroby piekarnicze i cukiernicze,Anyżki,2011-01-10
opolskie,"Oleje i tłuszcze (masło, margaryna itp.)",Olej głubczycki rzepakowy tłoczony na zimno,2011-04-14
opolskie,Wyroby piekarnicze i cukiernicze,Chleb mleczny praszkowski,2011-06-02
opolskie,Gotowe dania i potrawy,Pańczkraut – kapusta kiszona z ziemniakami,2011-11-03
opolskie,Gotowe dania i potrawy,Makówka opolska,2011-12-30
opolskie,"Oleje i tłuszcze (masło, margaryna itp.)",Masło z Olesna,2013-03-27
opolskie,"Orzechy, nasiona, zboża, warzywa i owoce (przetworzone i nie)",Ogórkowe pikle,2013-05-14
opolskie,Sery i inne produkty mleczne,Ser twarogowy z Olesna,2013-10-30
opolskie,Mięso świeże oraz produkty mięsne,Modziki,2014-01-14
opolskie,Miody,Miody wołczyńskie,2014-04-11
opolskie,Wyroby piekarnicze i cukiernicze,Chrust/Chrustek/Chrustki/Faworki,2014-04-11
opolskie,Napoje (alkoholowe i bezalkoholowe),Kompot z kwity,2014-06-06
opolskie,Inne produkty,Nudle,2014-06-17
opolskie,Mięso świeże oraz produkty mięsne,Krupniok śląski,2014-10-27
opolskie,"Produkty rybołówstwa, w tym ryby ",Karp niemodliński,2015-05-25
opolskie,Wyroby piekarnicze i cukiernicze,Krośnicka szpajza,2019-12-16
opolskie,Wyroby piekarnicze i cukiernicze,Babka zista,2019-12-16
opolskie,Gotowe dania i potrawy,Polewka/polywka/zupa z maślanki ,2020-02-02
opolskie,"Oleje i tłuszcze (masło, margaryna itp.)",Masło czyszeckie,2020-02-02
opolskie,Gotowe dania i potrawy,Zupa rakowa,2020-06-01
opolskie,Gotowe dania i potrawy,Pranzunki/prandzonki,2020-06-01
opolskie,Gotowe dania i potrawy,Żur żyniaty/żur żeniaty,2020-09-23
opolskie,Napoje (alkoholowe i bezalkoholowe),Ajerlikier,2021-03-30
opolskie,"Orzechy, nasiona, zboża, warzywa i owoce (przetworzone i nie)",Jabłka suszone z pieca,2021-07-12
opolskie,Wyroby piekarnicze i cukiernicze,Kraple,2021-09-02
opolskie,Wyroby piekarnicze i cukiernicze,Citron śpajza - szpajza cytrynowa,2021-09-17
opolskie,Napoje (alkoholowe i bezalkoholowe),Kakałówka,2021-09-17
opolskie,Wyroby piekarnicze i cukiernicze,Keksy przez maszynkę/kruche ciastka kręcone przez maszynkę,2022-04-28
opolskie,Gotowe dania i potrawy,Soleier – śląskie jajka w zalewie kminkowej,2022-05-31
opolskie,Wyroby piekarnicze i cukiernicze,Śląski marcepan z ziemniaków,2022-05-31
opolskie ,Gotowe dania i potrawy,Studzienina,2023-01-05
podkarpackie,Mięso świeże oraz produkty mięsne,Kiełbasa markowska,2005-10-10
podkarpackie,Mięso świeże oraz produkty mięsne,Przysmak zapiekany markowski,2005-10-10
podkarpackie,Sery i inne produkty mleczne,Ser kozi „wołoski” biały lub wędzony,2005-10-10
podkarpackie,Sery i inne produkty mleczne,Bryndza kozia,2005-10-10
podkarpackie,Sery i inne produkty mleczne,Gomółki,2005-10-10
podkarpackie,Wyroby piekarnicze i cukiernicze,Chleb flisacki dawniej zwany chrupackim,2005-10-10
podkarpackie,Mięso świeże oraz produkty mięsne,Kiełbasa swojska krajana,2006-03-10
podkarpackie,Mięso świeże oraz produkty mięsne,Pasztet zapiekany,2006-03-10
podkarpackie,Mięso świeże oraz produkty mięsne,Kiełbasa głogowska,2006-03-10
podkarpackie,Mięso świeże oraz produkty mięsne,Szynka wiejska markowska,2006-03-10
podkarpackie,Napoje (alkoholowe i bezalkoholowe),Kruszon,2006-03-10
podkarpackie,"Orzechy, nasiona, zboża, warzywa i owoce (przetworzone i nie)",Powidła krzeszowskie,2006-03-10
podkarpackie,Wyroby piekarnicze i cukiernicze,Chleb chwałowski,2006-03-10
podkarpackie,Wyroby piekarnicze i cukiernicze,Krupiak,2006-03-10
podkarpackie,Wyroby piekarnicze i cukiernicze,Proziaki,2006-03-10
podkarpackie,Mięso świeże oraz produkty mięsne,Salceson dukielski,2006-03-29
podkarpackie,Mięso świeże oraz produkty mięsne,Kiszka pasztetowa dukielska,2006-03-29
podkarpackie,Mięso świeże oraz produkty mięsne,Kiszka kaszana regionalna dukielska,2006-03-29
podkarpackie,Sery i inne produkty mleczne,Ser kozi podkarpacki biały i wędzony,2006-06-14
podkarpackie,Wyroby piekarnicze i cukiernicze,Rzeszowski kołacz weselny,2006-06-14
podkarpackie,Mięso świeże oraz produkty mięsne,Kaszanka wiejska pilzneńska,2006-07-17
podkarpackie,Mięso świeże oraz produkty mięsne,Salceson wiejski pilzneński,2006-07-17
podkarpackie,Mięso świeże oraz produkty mięsne,Kiełbasa swojska pilzneńska,2006-07-17
podkarpackie,Mięso świeże oraz produkty mięsne,Szynka swojska pilzneńska,2006-07-17
podkarpackie,Mięso świeże oraz produkty mięsne,Szynka biesiadna pilzneńska,2006-07-17
podkarpackie,Gotowe dania i potrawy,Kapusta z kaszą jęczmienną po lasowiacku,2006-07-19
podkarpackie,Gotowe dania i potrawy,Panepuchy,2006-07-19
podkarpackie,Gotowe dania i potrawy,Kacapoły lub kręgle,2006-07-19
podkarpackie,Napoje (alkoholowe i bezalkoholowe),Górecki kompot z suszu,2006-07-19
podkarpackie,Wyroby piekarnicze i cukiernicze,Kruszonka lasowiacka,2006-07-19
podkarpackie,Wyroby piekarnicze i cukiernicze,Chrupaczki,2007-01-04
podkarpackie,Wyroby piekarnicze i cukiernicze,Chleb razowy łańcucki na liściu kapusty,2007-01-19
podkarpackie,Gotowe dania i potrawy,Pierogi z kapustą i grzybami pilzneńskie,2007-01-30
podkarpackie,Gotowe dania i potrawy,Pierogi z mięsem pilzneńskie,2007-01-30
podkarpackie,Gotowe dania i potrawy,Pierogi pilzneńskie z borówkami,2007-01-30
podkarpackie,Gotowe dania i potrawy,Pierogi ruskie pilzneńskie,2007-01-30
podkarpackie,Gotowe dania i potrawy,Gołąbki pilzneńskie,2007-01-30
podkarpackie,Mięso świeże oraz produkty mięsne,Golonka podkarpacka z Pilzna,2007-01-30
podkarpackie,Miody,Podkarpacki miód spadziowy,2007-02-22
podkarpackie,Mięso świeże oraz produkty mięsne,Wiejska pieczona z Górna,2007-03-30
podkarpackie,Mięso świeże oraz produkty mięsne,Kiełbasa sucha pieczona z Górna,2007-03-30
podkarpackie,Wyroby piekarnicze i cukiernicze,Makowiec sędziszowski,2007-04-25
podkarpackie,Wyroby piekarnicze i cukiernicze,Serowiec sędziszowski,2007-04-25
podkarpackie,Wyroby piekarnicze i cukiernicze,Sędziszowskie ciasto z jagodami,2007-04-25
podkarpackie,Mięso świeże oraz produkty mięsne,Golonka w słoju z Górna,2007-05-02
podkarpackie,Mięso świeże oraz produkty mięsne,Kiełbasianka z Górna,2007-05-02
podkarpackie,Gotowe dania i potrawy,Kapusta ziemniaczana,2007-05-04
podkarpackie,"Orzechy, nasiona, zboża, warzywa i owoce (przetworzone i nie)",Róża ucierana podkarpacka,2007-05-04
podkarpackie,Sery i inne produkty mleczne,Ser żółty smażony podkarpacki,2007-05-04
podkarpackie,Wyroby piekarnicze i cukiernicze,Chleb sędziszowski żytni,2007-05-18
podkarpackie,Mięso świeże oraz produkty mięsne,Udziec wieprzowy pieczony z kością,2007-06-12
podkarpackie,Wyroby piekarnicze i cukiernicze,Futomski bulwiok,2007-06-12
podkarpackie,Napoje (alkoholowe i bezalkoholowe),Orzechówka krzeszowska,2007-07-20
podkarpackie,Wyroby piekarnicze i cukiernicze,Tort chlebowy z Korniaktowa,2007-07-20
podkarpackie,Wyroby piekarnicze i cukiernicze,Amoniaczki korniaktowskie,2007-07-20
podkarpackie,Gotowe dania i potrawy,Żur rzeszowski,2007-09-04
podkarpackie,Napoje (alkoholowe i bezalkoholowe),Lasowiacka nalewka z pigwy,2007-09-11
podkarpackie,Miody,Miód lubaczowski,2007-12-20
podkarpackie,Mięso świeże oraz produkty mięsne,Szynka tradycyjna z Górna,2008-01-08
podkarpackie,Napoje (alkoholowe i bezalkoholowe),Lasowiacka nalewka żurawinowa,2008-01-08
podkarpackie,Mięso świeże oraz produkty mięsne,Studzienina z Górna,2008-02-04
podkarpackie,Mięso świeże oraz produkty mięsne,Boczek pieczony z Górna,2008-02-26
podkarpackie,"Orzechy, nasiona, zboża, warzywa i owoce (przetworzone i nie)",Dereń kiszony podkarpacki,2008-02-26
podkarpackie,Mięso świeże oraz produkty mięsne,Schab tradycyjny z Górna,2008-04-29
podkarpackie,Miody,Miód z Korzenicy wielokwiatowy i nektarowo-spadziowy,2008-04-29
podkarpackie,Mięso świeże oraz produkty mięsne,Salceson swojski radomyski,2008-07-02
podkarpackie,Mięso świeże oraz produkty mięsne,Kiełbasa wiejska dulcza,2008-07-02
podkarpackie,Mięso świeże oraz produkty mięsne,Boczek wędzony radomyski,2008-07-02
podkarpackie,"Orzechy, nasiona, zboża, warzywa i owoce (przetworzone i nie)",Powidło galicyjskie z kotła,2008-10-30
podkarpackie,Gotowe dania i potrawy,Razowe pierogi z Wiercan,2008-12-19
podkarpackie,Napoje (alkoholowe i bezalkoholowe),Soki z owoców tłoczone na zimno z Ziemi Łańcuckiej,2008-12-19
podkarpackie,Gotowe dania i potrawy,Pamuła glinicka,2009-07-31
podkarpackie,"Orzechy, nasiona, zboża, warzywa i owoce (przetworzone i nie)",Ogórki kiszone z Handzlówki,2009-07-31
podkarpackie,Gotowe dania i potrawy,Mączka z gęsi po dachnowsku,2009-08-18
podkarpackie,Gotowe dania i potrawy,Gołąbki z Nowego Sioła,2009-08-18
podkarpackie,Wyroby piekarnicze i cukiernicze,Bułka (Brytfon),2009-08-18
podkarpackie,Gotowe dania i potrawy,Pieróg dachnowski z kaszą gryczaną i ziemniakami,2009-09-09
podkarpackie,Mięso świeże oraz produkty mięsne,Boczek w słoju z Górna,2009-12-17
podkarpackie,Mięso świeże oraz produkty mięsne,Kiełbasa swojska brzezińska,2009-12-17
podkarpackie,Wyroby piekarnicze i cukiernicze,Biszkopty jarosławskie,2009-12-17
podkarpackie,Gotowe dania i potrawy,Pierogi z kaszy jaglanej z serem,2010-03-09
podkarpackie,Gotowe dania i potrawy,Kwas z gąsek zielonych,2010-03-09
podkarpackie,Mięso świeże oraz produkty mięsne,Kiełbasa pieczona świąteczna po pysznicku,2010-03-09
podkarpackie,Mięso świeże oraz produkty mięsne,Pasztet w słoju tradycyjny z Górna,2010-03-23
podkarpackie,Gotowe dania i potrawy,Handzlowska serwatka wielkanocna,2010-08-19
podkarpackie,Gotowe dania i potrawy,Kapusta wigilijna po Pysznicku,2010-08-19
podkarpackie,Gotowe dania i potrawy,Studzionka bobowo-serowa,2010-08-19
podkarpackie,Gotowe dania i potrawy,Pieczone pierogi św. Jacka,2010-08-19
podkarpackie,Napoje (alkoholowe i bezalkoholowe),Sok z owoców czarnego bzu,2010-08-19
podkarpackie,Sery i inne produkty mleczne,Ser biały z Handzlówki,2010-08-19
podkarpackie,Sery i inne produkty mleczne,Ser kornaka w zalewie ziołowej,2010-08-19
podkarpackie,Wyroby piekarnicze i cukiernicze,Serownik (sernik) handzlowski,2010-08-19
podkarpackie,Wyroby piekarnicze i cukiernicze,Handzlowska bułka pszenna,2010-08-19
podkarpackie,Sery i inne produkty mleczne,Serek twarogowy ziarnisty,2011-01-17
podkarpackie,"Orzechy, nasiona, zboża, warzywa i owoce (przetworzone i nie)",Suszone plasterki jabłek z Pruchnika,2011-03-28
podkarpackie,"Orzechy, nasiona, zboża, warzywa i owoce (przetworzone i nie)",Gruszki w syropie miodowym,2011-04-14
podkarpackie,"Orzechy, nasiona, zboża, warzywa i owoce (przetworzone i nie)",Pruchnicka gruszka suszona,2011-04-14
podkarpackie,"Orzechy, nasiona, zboża, warzywa i owoce (przetworzone i nie)",Pruchnicka suszona śliwka węgierka,2011-04-14
podkarpackie,Wyroby piekarnicze i cukiernicze,Chleb swojski brzeziński,2011-04-14
podkarpackie,Gotowe dania i potrawy,Zalewajka,2012-02-06
podkarpackie,Sery i inne produkty mleczne,Ser wielkanocny,2012-02-06
podkarpackie,Wyroby piekarnicze i cukiernicze,Chleb koziarniacki,2012-02-06
podkarpackie,Wyroby piekarnicze i cukiernicze,Kukiełka z kaszą jaglaną,2012-02-06
podkarpackie,Napoje (alkoholowe i bezalkoholowe),Orzechówka jasielska,2012-04-16
podkarpackie,Mięso świeże oraz produkty mięsne,Salceson wiejski markowski,2012-05-31
podkarpackie,Napoje (alkoholowe i bezalkoholowe),Wiśniówka jasielska,2012-07-04
podkarpackie,Gotowe dania i potrawy,Barszcz kwaszony z buraka ćwikłowego,2012-07-10
podkarpackie,Mięso świeże oraz produkty mięsne,Polędwica swojska pilzneńska,2012-07-10
podkarpackie,Mięso świeże oraz produkty mięsne,Boczek swojski pilzneński,2012-07-10
podkarpackie,"Oleje i tłuszcze (masło, margaryna itp.)",Olej podkarpacki,2012-07-10
podkarpackie,Gotowe dania i potrawy,Pierogi z soczewicą,2013-01-17
podkarpackie,Gotowe dania i potrawy,Placki kapuściane – szandorki,2013-02-18
podkarpackie,Wyroby piekarnicze i cukiernicze,Szyszka weselna grodziska,2013-02-18
podkarpackie,Wyroby piekarnicze i cukiernicze,Korowal weselny,2013-03-11
podkarpackie,"Oleje i tłuszcze (masło, margaryna itp.)",Masło domowe z Handzlówki,2013-04-11
podkarpackie,Wyroby piekarnicze i cukiernicze,Handzlowski chleb domowy,2013-04-11
podkarpackie,Gotowe dania i potrawy,Jeżowskie pierogi z kaszą jaglaną i twarogiem,2013-04-17
podkarpackie,Wyroby piekarnicze i cukiernicze,Chleb pszenno-razowy z piecowiska,2013-04-17
podkarpackie,Wyroby piekarnicze i cukiernicze,Jeżowskie kapuśniaki z kaszą tatarczaną,2013-04-17
podkarpackie,Gotowe dania i potrawy,Gołąbki z kaszy gryczanej z tartymi ziemniakami z sosem grzybowym,2013-05-14
podkarpackie,Gotowe dania i potrawy,Kaczka leżachowska pieczona,2013-05-14
podkarpackie,Wyroby piekarnicze i cukiernicze,Pierożki leżachowskie (pieczone z kaszą gryczaną),2013-05-14
podkarpackie,Gotowe dania i potrawy,Zrazy z baraniny w sosie własnym,2013-05-21
podkarpackie,Mięso świeże oraz produkty mięsne,Kiełbasa dębowiecka,2013-05-21
podkarpackie,Napoje (alkoholowe i bezalkoholowe),Śliwowica krzeszowska,2013-05-21
podkarpackie,Wyroby piekarnicze i cukiernicze,Placek z jabłkami,2013-05-21
podkarpackie,Gotowe dania i potrawy,Fujarki pastusze,2013-06-03
podkarpackie,Gotowe dania i potrawy,Ryba pyrowa,2013-06-03
podkarpackie,Gotowe dania i potrawy,Niedźwiedź chłopski,2013-06-03
podkarpackie,Wyroby piekarnicze i cukiernicze,Siemieniaki orzechowe,2013-06-03
podkarpackie,Gotowe dania i potrawy,Zupa z jagód,2013-06-12
podkarpackie,Gotowe dania i potrawy,Zupa dziadowska,2013-06-12
podkarpackie,Mięso świeże oraz produkty mięsne,Chwałowskie żeberka wędzone w wekach,2013-06-12
podkarpackie,Wyroby piekarnicze i cukiernicze,Jagodzianki,2013-06-12
podkarpackie,Wyroby piekarnicze i cukiernicze,Chleb żytni na zakwasie z Ziemi Mieleckiej,2013-06-24
podkarpackie,Wyroby piekarnicze i cukiernicze,Pieróg z kaszy gryczanej,2013-07-19
podkarpackie,Wyroby piekarnicze i cukiernicze,Chleb pszenny dąbrowicki,2013-07-19
podkarpackie,Gotowe dania i potrawy,Kołduny,2013-07-31
podkarpackie,Mięso świeże oraz produkty mięsne,Kiełbasa wiejska jodłowska,2013-07-31
podkarpackie,"Produkty rybołówstwa, w tym ryby",Karp po starzawsku,2013-07-31
podkarpackie,Mięso świeże oraz produkty mięsne,Szynka swojska wędzona z Hermanowej,2013-08-19
podkarpackie,Mięso świeże oraz produkty mięsne,Szynka pieczona z Hermanowej,2013-08-19
podkarpackie,Mięso świeże oraz produkty mięsne,Kiełbasa swojska z Hermanowej,2013-08-19
podkarpackie,Gotowe dania i potrawy,Bieszczadzkie pierogi,2013-09-05
podkarpackie,Wyroby piekarnicze i cukiernicze,Gościnnik chlebowy,2013-09-05
podkarpackie,Sery i inne produkty mleczne,Szyszki piwne,2013-09-11
podkarpackie,Wyroby piekarnicze i cukiernicze,Syrnik z krupami,2013-09-11
podkarpackie,Wyroby piekarnicze i cukiernicze,Wilijnik,2013-09-11
podkarpackie,Mięso świeże oraz produkty mięsne,Boczek z Wetliny,2013-10-09
podkarpackie,Mięso świeże oraz produkty mięsne,Kiełbasa smalcówka,2013-10-09
podkarpackie,Gotowe dania i potrawy,Barszcz biały wielkanocny,2013-10-30
podkarpackie,Napoje (alkoholowe i bezalkoholowe),Malinówka jasielska,2013-10-30
podkarpackie,Gotowe dania i potrawy,Pierogi razowe z Lalina,2013-12-05
podkarpackie,Gotowe dania i potrawy,Pierogi z bobem,2014-02-25
podkarpackie,Napoje (alkoholowe i bezalkoholowe),Herbata miodowo-lipowa,2014-02-25
podkarpackie,Gotowe dania i potrawy,Niwiskie pierogi z kapustą kiszoną,2014-03-28
podkarpackie,Gotowe dania i potrawy,Niwiski krupnik,2014-03-28
podkarpackie,Gotowe dania i potrawy,Kwas wigilijny,2014-05-15
podkarpackie,Mięso świeże oraz produkty mięsne,Salceson dębowiecki,2014-05-15
podkarpackie,Sery i inne produkty mleczne,Ser kozi dojrzewający bieszczadzki,2014-05-15
podkarpackie,Wyroby piekarnicze i cukiernicze,Podpłomyk,2014-05-15
podkarpackie,Gotowe dania i potrawy,Pierogi ruskie razowe,2014-07-15
podkarpackie,Mięso świeże oraz produkty mięsne,Słonina wędzona rekrucka,2014-08-22
podkarpackie,Mięso świeże oraz produkty mięsne,Kiełbasa wiejska,2014-08-22
podkarpackie,Mięso świeże oraz produkty mięsne,Karczek wędzony po dębowiecku,2014-10-07
podkarpackie,Mięso świeże oraz produkty mięsne,Kiełbasa wiejska wierzawicka,2014-10-27
podkarpackie,Mięso świeże oraz produkty mięsne,Schab wędzony markowski,2014-10-27
podkarpackie,Mięso świeże oraz produkty mięsne,Kiełbasa swojska drobiowo-wieprzowa pilzneńska,2014-10-31
podkarpackie,Mięso świeże oraz produkty mięsne,Kiełbasa wiejska pilzneńska,2014-10-31
podkarpackie,Gotowe dania i potrawy,Kapusta z grochem i kaszą jaglaną,2014-11-14
podkarpackie,Mięso świeże oraz produkty mięsne,Kiełbasa półsucha z Górna,2014-11-21
podkarpackie,Mięso świeże oraz produkty mięsne,Kiełbasa szynkowa z Markowej,2014-11-21
podkarpackie,Sery i inne produkty mleczne,Bundz kozi,2015-01-09
podkarpackie,Sery i inne produkty mleczne,Ser krowi łemkowski,2015-01-09
podkarpackie,Sery i inne produkty mleczne,Bryndza łemkowska,2015-01-09
podkarpackie,Sery i inne produkty mleczne,Bundz łemkowski,2015-01-09
podkarpackie,Mięso świeże oraz produkty mięsne,Boczek wędzony dębowiecki,2015-02-12
podkarpackie,Mięso świeże oraz produkty mięsne,Kiełbasa markowska sucha,2015-02-12
podkarpackie,Mięso świeże oraz produkty mięsne,Szynka swojska z Górna,2015-03-02
podkarpackie,Wyroby piekarnicze i cukiernicze,Szarlotka domowa ze świeżych i prażonych jabłek,2015-04-16
podkarpackie,Mięso świeże oraz produkty mięsne,Szynka wiejska wiązana radomyska,2015-04-29
podkarpackie,Mięso świeże oraz produkty mięsne,Szynka wędzona dulcza,2015-04-29
podkarpackie,Mięso świeże oraz produkty mięsne,Kabanos wieprzowy wierzawicki,2015-05-18
podkarpackie,Mięso świeże oraz produkty mięsne,Schab wędzony smerecki,2015-05-18
podkarpackie,Mięso świeże oraz produkty mięsne,Kiełbasa swojska z Wierzeic (Wierzawice),2015-05-27
podkarpackie,Mięso świeże oraz produkty mięsne,Baleron z Wierzeic (Wierzawice),2015-05-27
podkarpackie,Wyroby piekarnicze i cukiernicze,Placek rzeszowiak,2015-05-27
podkarpackie,Gotowe dania i potrawy,Ziemniak faszerowany po rzeszowsku,2015-06-01
podkarpackie,Mięso świeże oraz produkty mięsne,Baleron wędzony radomyski,2015-06-01
podkarpackie,Mięso świeże oraz produkty mięsne,Kiełbasa wiejska z Wielopola,2015-06-16
podkarpackie,Mięso świeże oraz produkty mięsne,Szynka z Wieolpola,2015-06-16
podkarpackie,Wyroby piekarnicze i cukiernicze,Pieróg jaglany brzózański,2015-06-16
podkarpackie,Wyroby piekarnicze i cukiernicze,Lizaki wigilijne ulanowskie,2015-07-15
podkarpackie,Mięso świeże oraz produkty mięsne,Polędwiczka wędzona z Wierzeic (Wierzawice),2015-08-05
podkarpackie,Wyroby piekarnicze i cukiernicze,Bandurzak,2015-08-05
podkarpackie,Mięso świeże oraz produkty mięsne,Boczek wędzony wolski,2015-08-26
podkarpackie,Sery i inne produkty mleczne,Ser wołoski krowi,2015-08-28
podkarpackie,Wyroby piekarnicze i cukiernicze,Kapuśniaczki drożdżowe,2015-09-25
podkarpackie,Mięso świeże oraz produkty mięsne,Boczek wędzony z Wierzeic (Wierzawice),2015-10-07
podkarpackie,Mięso świeże oraz produkty mięsne,Kiełbasa wiejska wolska,2015-12-03
podkarpackie,Mięso świeże oraz produkty mięsne,Schab wędzony radomyski,2015-12-03
podkarpackie,Mięso świeże oraz produkty mięsne,Polędwiczka wędzona radomyska,2015-12-03
podkarpackie,Mięso świeże oraz produkty mięsne,Szynka wędzona markowska z ziołami,2016-01-19
podkarpackie,Napoje (alkoholowe i bezalkoholowe),Dereniówka Bask z Albigowej,2016-01-19
podkarpackie,Wyroby piekarnicze i cukiernicze,Strucla makowa brzozowska,2016-02-12
podkarpackie,"Produkty rybołówstwa, w tym ryby",Lasowiacki karp w galarecie,2016-02-22
podkarpackie,Sery i inne produkty mleczne,Ser twarogowy lasowiacki,2016-05-11
podkarpackie,Mięso świeże oraz produkty mięsne,Kiełbasa swojska z Czarnej,2016-06-29
podkarpackie,Mięso świeże oraz produkty mięsne,Schab wędzony z Wierzeic,2016-09-06
podkarpackie,Inne produkty,Galicyjski ocet jabłkowy,2016-10-14
podkarpackie,"Orzechy, nasiona, zboża, warzywa i owoce (przetworzone i nie)",Powidła śliwkowe,2016-10-16
podkarpackie,Sery i inne produkty mleczne,Ser wędzony z mleka krowiego,2016-11-04
podkarpackie,Gotowe dania i potrawy,Pstrągowska banianka,2016-12-21
podkarpackie,Sery i inne produkty mleczne,Śmietana lasowiacka,2017-02-01
podkarpackie,"Oleje i tłuszcze (masło, margaryna itp.)",Masło lasowiackie ,2017-03-03
podkarpackie,Mięso świeże oraz produkty mięsne,Szynka wędzona wierzawicka,2017-05-08
podkarpackie,"Oleje i tłuszcze (masło, margaryna itp.)",Masło z Jasienicy Rosielnej ,2017-05-08
podkarpackie,Sery i inne produkty mleczne,Twaróg wiejski z Jasienicy Rosielnej,2017-05-08
podkarpackie,Mięso świeże oraz produkty mięsne,Kiełbasa swojska jodłowska,2017-09-27
podkarpackie,Sery i inne produkty mleczne,Ser bieszczadzki wędzony,2018-01-04
podkarpackie,"Produkty rybołówstwa, w tym ryby",Karp wędzony z Rudy Różanieckiej,2018-01-18
podkarpackie,Gotowe dania i potrawy,Pamuła weryńska,2018-03-14
podkarpackie,Mięso świeże oraz produkty mięsne,Kiełbasa sielska,2018-03-14
podkarpackie,Sery i inne produkty mleczne,Ser krowi dojrzewajacy Wólczan,2018-03-29
podkarpackie,Mięso świeże oraz produkty mięsne,Konserwy tradycyjne mięsne,2018-04-26
podkarpackie,Wyroby piekarnicze i cukiernicze,Tort z fasoli Piękny Jaś ,2018-05-30
podkarpackie,Sery i inne produkty mleczne,Ser podpuszczkowy z nutą leśną,2018-07-24
podkarpackie,Gotowe dania i potrawy,Orkiszowe kluski krojone,2018-11-16
podkarpackie,Gotowe dania i potrawy,Rakszawski pasztet grzybowy,2019-06-12
podkarpackie,Napoje (alkoholowe i bezalkoholowe),Smolarzyński syrop z pączków sosny,2019-06-12
podkarpackie,Mięso świeże oraz produkty mięsne,Wiejska z Wadowic,2019-07-12
podkarpackie,Mięso świeże oraz produkty mięsne,Szynkowa tradycyjna z Wadowic,2019-07-12
podkarpackie,Napoje (alkoholowe i bezalkoholowe),Miodówka cytrynowa,2019-08-02
podkarpackie,Napoje (alkoholowe i bezalkoholowe),Miodówka staropolska,2019-08-02
podkarpackie,"Orzechy, nasiona, zboża, warzywa i owoce (przetworzone i nie)",Galicyjskie kwaśne jabłko,2019-08-20
podkarpackie,Sery i inne produkty mleczne,Ser kozi wołoski z Doliny Wisłoka,2019-10-16
podkarpackie,Sery i inne produkty mleczne,Ser biały bieszczadzki w beczce,2019-10-16
podkarpackie,Miody,Miód lubaczowski rzepakowy,2019-10-25
podkarpackie,Mięso świeże oraz produkty mięsne,Kiełbasa wiejska kamieńska,2019-11-20
podkarpackie,Wyroby piekarnicze i cukiernicze,Zoibak grodziski,2019-11-27
podkarpackie,Wyroby piekarnicze i cukiernicze,Bułka wodna dębowiecka,2020-03-10
