Województwo,"Rodzaj produktu rolnego, środka spożywczego lub napoju spirytusowego wpisanego na lpt","Nazwa produktu rolnego, środka spożywczego lub napoju spirytusowego wpisanego na lpt",Data wpisu na lpt
łódzkie,Napoje (alkoholowe i bezalkoholowe),Piwo łaskie,2008-09-25 00:00:00
łódzkie,Napoje (alkoholowe i bezalkoholowe),Nalewka owocowa z Nagawek,2008-09-25 00:00:00
łódzkie,"Oleje i tłuszcze (masło, margaryna itp.)",Masło nagawskie,2008-09-25 00:00:00
łódzkie,Wyroby piekarnicze i cukiernicze,Chleb dmosiński na tradycyjnym zakwasie,2008-09-25 00:00:00
łódzkie,"Orzechy, nasiona, zboża, warzywa i owoce (przetworzone i nie)",Nagawskie jabłka pieczone z sokiem,2008-10-07 00:00:00
łódzkie,Wyroby piekarnicze i cukiernicze,Chleb żytni świątnicki,2008-11-19 00:00:00
łódzkie,Wyroby piekarnicze i cukiernicze,Chleb razowy z Doliny Mrogi z ziarnami zbóż,2009-01-15 00:00:00
łódzkie,Wyroby piekarnicze i cukiernicze,Chleb gryczany,2009-01-15 00:00:00
łódzkie,Gotowe dania i potrawy,Kapłonek (wodzianka) z Gałkowa,2009-01-26 00:00:00
łódzkie,Mięso świeże oraz produkty mięsne,Kiełbasa nadolska tradycyjnie wędzona,2009-01-26 00:00:00
łódzkie,Mięso świeże oraz produkty mięsne,Pasztetowa z Nadolnej w pętkach,2009-01-26 00:00:00
łódzkie,Gotowe dania i potrawy,Polewka gruszkowa z Gałkowa,2009-03-05 00:00:00
łódzkie,Wyroby piekarnicze i cukiernicze,Chleb nagawski wiecznie świeży,2009-03-20 00:00:00
łódzkie,Mięso świeże oraz produkty mięsne,Jordanowska kiełbasa jałowcowa,2009-03-25 00:00:00
łódzkie,Sery i inne produkty mleczne,Kozi ser z Eufeminowa,2009-03-25 00:00:00
łódzkie,Wyroby piekarnicze i cukiernicze,Obrzędowy chleb z Doliny Mrogi,2009-03-25 00:00:00
łódzkie,Gotowe dania i potrawy,Kugiel z Przedborza,2009-05-18 00:00:00
łódzkie,Gotowe dania i potrawy,Plendze kartoflane z Wójcina,2009-05-18 00:00:00
łódzkie,Gotowe dania i potrawy,Jeżowski żur z ziemniaczkami,2009-05-28 00:00:00
łódzkie,Mięso świeże oraz produkty mięsne,Nadolski boczek tradycyjnie wędzony,2009-05-28 00:00:00
łódzkie,Napoje (alkoholowe i bezalkoholowe),Ratafia malinowa z Nagawek,2009-05-28 00:00:00
łódzkie,Mięso świeże oraz produkty mięsne,Wędzone kiełbasy jordanowskie,2009-06-15 00:00:00
łódzkie,Wyroby piekarnicze i cukiernicze,Tatarczuch z Radomska,2009-11-04 00:00:00
łódzkie,Gotowe dania i potrawy,Radomszczańska zalewajka,2009-12-21 00:00:00
łódzkie,Sery i inne produkty mleczne,Twaróg tradycyjny,2010-02-15 00:00:00
łódzkie,Wyroby piekarnicze i cukiernicze,Chleb gospodarski z Mrogi,2010-05-17 00:00:00
łódzkie,"Oleje i tłuszcze (masło, margaryna itp.)",Masło z Głuchowa,2010-06-24 00:00:00
łódzkie,Wyroby piekarnicze i cukiernicze,Chleb żytni z mlekiem,2010-06-24 00:00:00
łódzkie,Mięso świeże oraz produkty mięsne,Wędzonki szadkowskie,2010-09-21 00:00:00
łódzkie,Wyroby piekarnicze i cukiernicze,Chleby żytnie szadkowskie,2010-09-21 00:00:00
łódzkie,Miody,Miody z gminy Żelechlinek,2011-02-15 00:00:00
łódzkie,Napoje (alkoholowe i bezalkoholowe),Sok jabłkowy z Kałęczewa,2011-02-15 00:00:00
łódzkie,Mięso świeże oraz produkty mięsne,Szynka wieluńska z lagi,2011-04-14 00:00:00
łódzkie,Mięso świeże oraz produkty mięsne,Szynka cygańska zwana niedźwiedzią z Zaborowa,2011-06-02 00:00:00
łódzkie,Mięso świeże oraz produkty mięsne,Kiełbasa chłopska,2011-06-02 00:00:00
łódzkie,Napoje (alkoholowe i bezalkoholowe),Ratafia,2011-06-02 00:00:00
łódzkie,Napoje (alkoholowe i bezalkoholowe),Nalewka imbirowo-cytrynowa,2011-06-02 00:00:00
łódzkie,Napoje (alkoholowe i bezalkoholowe),Kwas chlebowy,2011-06-02 00:00:00
łódzkie,Sery i inne produkty mleczne,Sery kozie z Drużbina,2011-11-03 00:00:00
łódzkie,Wyroby piekarnicze i cukiernicze,Ciastka ze skwarek (słoninki),2011-12-30 00:00:00
łódzkie,Miody,"Miód Ziemi Brzezińskiej, Wzniesień Łódzkich i Rawki",2012-07-27 00:00:00
łódzkie,Napoje (alkoholowe i bezalkoholowe),Dmosiński syrop z malin,2012-07-27 00:00:00
łódzkie,"Orzechy, nasiona, zboża, warzywa i owoce (przetworzone i nie)",Kapusta kiszona w całych głowach,2012-07-27 00:00:00
łódzkie,Wyroby piekarnicze i cukiernicze,Chleb razowy parzony z Ozorkowa,2012-12-14 00:00:00
łódzkie,Napoje (alkoholowe i bezalkoholowe),Nalewka truskawkowa z Bachorzyna,2013-04-17 00:00:00
łódzkie,Mięso świeże oraz produkty mięsne,Kiełbasa bilska,2013-05-14 00:00:00
łódzkie,Wyroby piekarnicze i cukiernicze,Obwarzanki tomaszowskie,2013-05-14 00:00:00
łódzkie,Mięso świeże oraz produkty mięsne,Kaszanka,2013-06-27 00:00:00
łódzkie,Mięso świeże oraz produkty mięsne,Kiełbasa swojska z Białej Góry,2013-06-27 00:00:00
łódzkie,Mięso świeże oraz produkty mięsne,Karczek pieczony z Białej Góry,2013-06-27 00:00:00
łódzkie,Wyroby piekarnicze i cukiernicze,Chleb kozacki z Ozorkowa,2013-10-21 00:00:00
łódzkie,Mięso świeże oraz produkty mięsne,Boczek wędzony z Zaborowa,2014-11-21 00:00:00
łódzkie,Mięso świeże oraz produkty mięsne,Boczek wędzony łuskany z Szadku,2014-11-21 00:00:00
łódzkie,Mięso świeże oraz produkty mięsne,Słonina wędzona z Szadku,2014-11-21 00:00:00
łódzkie,Mięso świeże oraz produkty mięsne,Kiełbasy szadkowskie wędzone podsuszane,2014-11-27 00:00:00
łódzkie,Mięso świeże oraz produkty mięsne,Pachwina wędzona z Szadku,2014-11-27 00:00:00
łódzkie,Mięso świeże oraz produkty mięsne,Kiełbasa sołtysa z Bilskiej Woli,2014-11-27 00:00:00
łódzkie,Mięso świeże oraz produkty mięsne,Boczek wędzony z Bilskiej Woli ,2014-11-27 00:00:00
łódzkie,"Orzechy, nasiona, zboża, warzywa i owoce (przetworzone i nie)",Pikantna konfitura z dzikiego wina,2014-11-27 00:00:00
łódzkie,Mięso świeże oraz produkty mięsne,Szynka domowa z Bilskiej Woli,2014-12-09 00:00:00
łódzkie,"Orzechy, nasiona, zboża, warzywa i owoce (przetworzone i nie)",Powidła z papierówek z Kobylnik,2015-09-25 00:00:00
łódzkie,Mięso świeże oraz produkty mięsne,Salceson gospodarza,2016-01-19 00:00:00
łódzkie,Mięso świeże oraz produkty mięsne,Wędzonka z beczki,2016-01-19 00:00:00
łódzkie,Mięso świeże oraz produkty mięsne,Kaszanka cienka,2016-01-19 00:00:00
łódzkie,Mięso świeże oraz produkty mięsne,Kiełbasa felinowska,2016-01-19 00:00:00
łódzkie,Gotowe dania i potrawy,Kluski żelazne,2016-02-12 00:00:00
łódzkie,Napoje (alkoholowe i bezalkoholowe),Sok pomidorowy z Kałęczewa,2016-02-22 00:00:00
łódzkie,"Orzechy, nasiona, zboża, warzywa i owoce (przetworzone i nie)",Ogórki kiszone z Rogowa,2016-03-09 00:00:00
łódzkie,"Orzechy, nasiona, zboża, warzywa i owoce (przetworzone i nie)",Konfitura agrestowa z Osse,2016-04-01 00:00:00
łódzkie,"Produkty rybołówstwa, w tym ryby",Karp z Grabi,2016-04-01 00:00:00
łódzkie,Gotowe dania i potrawy,Golonka z kapustą zasmażaną,2016-05-11 00:00:00
łódzkie,Gotowe dania i potrawy,Pierogi z kapustą i grzybami z Mrogi Dolnej,2016-06-15 00:00:00
łódzkie,Gotowe dania i potrawy,Zupa z dyni z Rogowa,2016-06-15 00:00:00
łódzkie,Gotowe dania i potrawy,Kotlety z płatków owsianych,2016-06-15 00:00:00
łódzkie,Napoje (alkoholowe i bezalkoholowe),Nalewka z czarnej porzeczki,2016-06-15 00:00:00
łódzkie,Napoje (alkoholowe i bezalkoholowe),Nalewka pigwowa,2016-06-15 00:00:00
łódzkie,Napoje (alkoholowe i bezalkoholowe),Nalewka cierniowa,2016-06-15 00:00:00
łódzkie,Wyroby piekarnicze i cukiernicze,Ciastka zawijane z marmoladą,2016-07-18 00:00:00
łódzkie,Gotowe dania i potrawy,Kluski nadziewane z kapustą zasmażaną,2016-09-14 00:00:00
łódzkie,Wyroby piekarnicze i cukiernicze,Babka gotowana,2016-09-22 00:00:00
łódzkie,Wyroby piekarnicze i cukiernicze,Rogaliki drożdżowe bez cukru,2016-10-14 00:00:00
łódzkie,Wyroby piekarnicze i cukiernicze,Pączki tradycyjne,2016-10-14 00:00:00
łódzkie,Gotowe dania i potrawy,Księżacka szynka jajeczna,2016-11-04 00:00:00
łódzkie,Gotowe dania i potrawy,Łubnicki żur smażony,2016-11-04 00:00:00
łódzkie,Gotowe dania i potrawy,Dziad kapuściany,2016-11-04 00:00:00
łódzkie,Gotowe dania i potrawy,Trzepka,2016-11-04 00:00:00
łódzkie,Gotowe dania i potrawy,Zupa z bani,2016-11-04 00:00:00
łódzkie,Mięso świeże oraz produkty mięsne,Baleron wędzony z Zaborowa,2016-12-01 00:00:00
łódzkie,"Orzechy, nasiona, zboża, warzywa i owoce (przetworzone i nie)",Konfitura z żurawiny z Osse,2016-12-21 00:00:00
łódzkie,"Produkty rybołówstwa, w tym ryby",Ryby wędzone tradycyjnie z Woli Moszczenickiej,2016-12-21 00:00:00
łódzkie,Napoje (alkoholowe i bezalkoholowe),Syrop malinowy z Lubowidzy,2017-01-12 00:00:00
łódzkie,Sery i inne produkty mleczne,Ser twarogowy z siary,2017-02-01 00:00:00
łódzkie,"Oleje i tłuszcze (masło, margaryna itp.)",Masło tradycyjne naturalne szczercowskie,2017-03-17 00:00:00
łódzkie,Sery i inne produkty mleczne,Ser twarogowy szczercowski ,2017-03-17 00:00:00
łódzkie,Mięso świeże oraz produkty mięsne,Kiełbasa z Księżych Młynów,2017-05-08 00:00:00
łódzkie,Napoje (alkoholowe i bezalkoholowe),Nalewka śliwkowa z Marianowa,2017-07-10 00:00:00
łódzkie,Napoje (alkoholowe i bezalkoholowe),Syrop z czarnego bzu z Kałęczewa,2017-07-10 00:00:00
łódzkie,"Orzechy, nasiona, zboża, warzywa i owoce (przetworzone i nie)",Powidła śliwkowe z Kałęczowa,2017-07-10 00:00:00
łódzkie,"Orzechy, nasiona, zboża, warzywa i owoce (przetworzone i nie)",Konfitura wiśniowa z Kałęczowa,2017-07-10 00:00:00
łódzkie,Wyroby piekarnicze i cukiernicze,Jabłecznik znad Mrogi,2017-07-10 00:00:00
łódzkie,Wyroby piekarnicze i cukiernicze,Rogaliki z powidłami śliwkowymi z okolic Mrogi,2017-07-10 00:00:00
łódzkie,Wyroby piekarnicze i cukiernicze,Babka drożdzowa znad Mrogi,2017-07-10 00:00:00
łódzkie,Wyroby piekarnicze i cukiernicze,Sernik z Nagawek,2017-08-11 00:00:00
łódzkie,Wyroby piekarnicze i cukiernicze,Szarlotka z Nagawek,2017-08-11 00:00:00
łódzkie,Gotowe dania i potrawy,Pierogi znad Mrożycy ,2017-09-27 00:00:00
łódzkie,Mięso świeże oraz produkty mięsne,Pasztety z Głowna,2017-09-27 00:00:00
łódzkie,Miody,Miody z doliny rzeki Bzury,2017-11-30 00:00:00
łódzkie,Wyroby piekarnicze i cukiernicze,Wybora krówka bełchatowska ,2017-11-30 00:00:00
łódzkie,Gotowe dania i potrawy,Pierogi z Głowna,2018-01-23 00:00:00
łódzkie,Gotowe dania i potrawy,Cepeliny z Nagawek,2018-03-29 00:00:00
łódzkie,Napoje (alkoholowe i bezalkoholowe),Nalewka dereniówka,2018-03-29 00:00:00
łódzkie,Napoje (alkoholowe i bezalkoholowe),"Napój ""jałowiec"" z Piotrkowa Trybunalskiego ",2018-07-24 00:00:00
łódzkie,Mięso świeże oraz produkty mięsne,Wędzonki z Księżych Młynów,2018-08-27 00:00:00
łódzkie,Sery i inne produkty mleczne,Tworóg z Dionizowa,2018-08-27 00:00:00
łódzkie,Sery i inne produkty mleczne,Zsiadłe mleko z Dionizowa,2018-08-27 00:00:00
łódzkie,Mięso świeże oraz produkty mięsne,Kiełbasa chłopska z Kazimierza,2018-10-08 00:00:00
łódzkie,Mięso świeże oraz produkty mięsne,Kaszanka gryczana gospodarza z Kazimierza ,2018-10-08 00:00:00
łódzkie,"Orzechy, nasiona, zboża, warzywa i owoce (przetworzone i nie)",Dmosiński dżem z malin,2019-07-12 00:00:00
łódzkie,Mięso świeże oraz produkty mięsne,Kiełbasa z Dzietrznik,2019-10-16 00:00:00
łódzkie,Mięso świeże oraz produkty mięsne,Wędzonki z Dzietrznik,2019-10-16 00:00:00
łódzkie,Mięso świeże oraz produkty mięsne,Kaszanka z Dzietrznik,2019-10-16 00:00:00
łódzkie,Mięso świeże oraz produkty mięsne,Kiełbasa swojska z oczkiem z Zaborowa,2019-10-16 00:00:00
łódzkie,Mięso świeże oraz produkty mięsne,Kiełbasa z Tronin,2019-12-16 00:00:00
łódzkie,Mięso świeże oraz produkty mięsne,Wędzonki z Tronin,2019-12-16 00:00:00
łódzkie,Miody,Piotrkowski miód wielokwiatowy,2020-03-27 00:00:00
łódzkie,Gotowe dania i potrawy,Kwosek z prażuchami ,2020-04-28 00:00:00
łódzkie,Sery i inne produkty mleczne,Jogurt owocowy z Dionizowa,2020-07-21 00:00:00
łódzkie,Napoje (alkoholowe i bezalkoholowe),Sok wiśniowy z Kałęczewa,2021-03-30 00:00:00
łódzkie,Mięso świeże oraz produkty mięsne,Szynka dojrzewająca z Białej Góry,2021-09-02 00:00:00
małopolskie,Mięso świeże oraz produkty mięsne,Kiełbasa lisiecka,2005-09-28 00:00:00
małopolskie,Sery i inne produkty mleczne,Bryndza podhalańska,2005-09-28 00:00:00
małopolskie,Sery i inne produkty mleczne,Żentyca,2005-09-28 00:00:00
małopolskie,Wyroby piekarnicze i cukiernicze,Precelek krakowski,2005-09-28 00:00:00
małopolskie,Inne produkty,Sól wielicka,2005-10-10 00:00:00
małopolskie,Napoje (alkoholowe i bezalkoholowe),Śliwowica łącka,2005-10-10 00:00:00
małopolskie,"Orzechy, nasiona, zboża, warzywa i owoce (przetworzone i nie) ",Jabłka łąckie,2005-10-10 00:00:00
małopolskie,Sery i inne produkty mleczne,Redykołka,2005-10-10 00:00:00
małopolskie,Sery i inne produkty mleczne,Bundz / Bunc,2005-10-10 00:00:00
małopolskie,Wyroby piekarnicze i cukiernicze,Chleb prądnicki,2005-10-10 00:00:00
małopolskie,Wyroby piekarnicze i cukiernicze,Baba z chleba żytniego,2006-03-10 00:00:00
małopolskie,Mięso świeże oraz produkty mięsne,Tuszka gęsi zatorskiej,2006-04-24 00:00:00
małopolskie,Napoje (alkoholowe i bezalkoholowe),Śliwowica wyborna,2006-04-24 00:00:00
małopolskie,"Orzechy, nasiona, zboża, warzywa i owoce (przetworzone i nie) ",Jabłko z Raciechowic,2006-04-24 00:00:00
małopolskie,Wyroby piekarnicze i cukiernicze,Jodłownicki kołacz z serem,2006-04-24 00:00:00
małopolskie,"Orzechy, nasiona, zboża, warzywa i owoce (przetworzone i nie) ",Charsznicka kapusta kwaszona,2006-11-28 00:00:00
małopolskie,"Orzechy, nasiona, zboża, warzywa i owoce (przetworzone i nie) ",Nasiona fasoli „Piękny Jaś” z doliny Dunajca ,2006-11-28 00:00:00
małopolskie,"Orzechy, nasiona, zboża, warzywa i owoce (przetworzone i nie) ",Suska sechlońska,2006-11-28 00:00:00
małopolskie,"Orzechy, nasiona, zboża, warzywa i owoce (przetworzone i nie) ",Łukowicka śliwka suszona,2006-11-28 00:00:00
małopolskie,Wyroby piekarnicze i cukiernicze,Obwarzanek krakowski,2006-11-28 00:00:00
małopolskie,Gotowe dania i potrawy,Żurek po krakowsku,2007-02-28 00:00:00
małopolskie,Gotowe dania i potrawy,Barszcz czerwony krakowski,2007-02-28 00:00:00
małopolskie,Mięso świeże oraz produkty mięsne,Karp zatorski,2007-02-28 00:00:00
małopolskie,Napoje (alkoholowe i bezalkoholowe),Balsam kapucyński,2007-02-28 00:00:00
małopolskie,Miody,Małopolski miód spadziowy,2008-01-30 00:00:00
małopolskie,Miody,Sądecki miód spadziowy,2008-02-01 00:00:00
małopolskie,Mięso świeże oraz produkty mięsne,Jagnięcina podhalańska,2008-06-26 00:00:00
małopolskie,Sery i inne produkty mleczne,"Ser gazdowski – gołka (pucok, kara)",2008-10-07 00:00:00
małopolskie,Wyroby piekarnicze i cukiernicze,Chleb jurajski,2008-10-29 00:00:00
małopolskie,Wyroby piekarnicze i cukiernicze,Chleb żarnowy z Łomnej,2008-10-29 00:00:00
małopolskie,Wyroby piekarnicze i cukiernicze,Ciasteczka wyśmienite,2008-10-29 00:00:00
małopolskie,Sery i inne produkty mleczne,Lody nowotarskie,2008-11-03 00:00:00
małopolskie,Wyroby piekarnicze i cukiernicze,Bajgiel z Kazimierza,2008-12-19 00:00:00
małopolskie,Wyroby piekarnicze i cukiernicze,Kukiełka lisiecka,2010-06-24 00:00:00
małopolskie,Wyroby piekarnicze i cukiernicze,Kołacz jurajski,2010-07-07 00:00:00
małopolskie,Napoje (alkoholowe i bezalkoholowe),Jarzębinka,2010-07-08 00:00:00
małopolskie,Napoje (alkoholowe i bezalkoholowe),Jarzębiak izdebnicki,2010-07-08 00:00:00
małopolskie,Wyroby piekarnicze i cukiernicze,Kukiełka podegrodzka,2010-09-15 00:00:00
małopolskie,"Orzechy, nasiona, zboża, warzywa i owoce (przetworzone i nie) ",Polska fasola z orzełkiem,2010-09-21 00:00:00
małopolskie,Gotowe dania i potrawy,Sułkowicka krzonówka,2010-12-01 00:00:00
małopolskie,Wyroby piekarnicze i cukiernicze,Chleb męciński,2010-12-01 00:00:00
małopolskie,Inne produkty,Syropy owocowe,2011-01-10 00:00:00
małopolskie,Gotowe dania i potrawy,Ziemniaki po cabańsku,2011-01-17 00:00:00
małopolskie,Gotowe dania i potrawy,Pierogi łomniczańskie,2011-08-25 00:00:00
małopolskie,Gotowe dania i potrawy,Moskol,2011-08-25 00:00:00
małopolskie,Mięso świeże oraz produkty mięsne,Karp zatorski wędzony,2011-08-25 00:00:00
małopolskie,Miody,Suski miód spadziowy z drzew iglastych,2011-11-24 00:00:00
małopolskie,Sery i inne produkty mleczne,Sądecki lody,2011-11-24 00:00:00
małopolskie,Wyroby piekarnicze i cukiernicze,Bugle zembrzyckie,2011-11-24 00:00:00
małopolskie,Wyroby piekarnicze i cukiernicze,Sernik jurajski,2011-11-24 00:00:00
małopolskie,Gotowe dania i potrawy,Zupa zoproska,2012-03-06 00:00:00
małopolskie,Mięso świeże oraz produkty mięsne,Szynka podstolego,2012-03-06 00:00:00
małopolskie,Mięso świeże oraz produkty mięsne,Szynka podstolego z nogą,2012-03-06 00:00:00
małopolskie,Gotowe dania i potrawy,Krzonówka po orawsku,2012-06-27 00:00:00
małopolskie,Gotowe dania i potrawy,Sałata po orawsku,2012-06-27 00:00:00
małopolskie,Wyroby piekarnicze i cukiernicze,Orawskie zawijańce weselne,2012-06-27 00:00:00
małopolskie,Wyroby piekarnicze i cukiernicze,Chleb orawski na liściu kapusty,2012-06-27 00:00:00
małopolskie,Gotowe dania i potrawy,Siuśpaj,2012-11-26 00:00:00
małopolskie,Mięso świeże oraz produkty mięsne,Kiełbasa wiejska z Podstolic,2012-11-30 00:00:00
małopolskie,Wyroby piekarnicze i cukiernicze,Koziołki,2012-11-30 00:00:00
małopolskie,Mięso świeże oraz produkty mięsne,Boczek gotowany z Podstolic,2012-12-07 00:00:00
małopolskie,Mięso świeże oraz produkty mięsne,Kiszka z Podstolic,2012-12-07 00:00:00
małopolskie,Gotowe dania i potrawy,Strząska,2012-12-14 00:00:00
małopolskie,Sery i inne produkty mleczne,Mleko od krów rasy polskiej czerwonej,2012-12-14 00:00:00
małopolskie,Mięso świeże oraz produkty mięsne,Jagnięcina jurajska z owcy olkuskiej,2012-12-21 00:00:00
małopolskie,Napoje (alkoholowe i bezalkoholowe),Czar pustyni,2012-12-21 00:00:00
małopolskie,Inne produkty,Jajko zielononóżki kuropatwianej,2013-02-18 00:00:00
małopolskie,Mięso świeże oraz produkty mięsne,Tuszka zielononóżki kuropatwianej,2013-02-18 00:00:00
małopolskie,Gotowe dania i potrawy,Kapusta po góralsku,2013-03-22 00:00:00
małopolskie,Gotowe dania i potrawy,Tarcioki – kluski scykane – bukty,2013-03-22 00:00:00
małopolskie,Gotowe dania i potrawy,Kluski hałuski,2013-03-22 00:00:00
małopolskie,Wyroby piekarnicze i cukiernicze,Paluszki krakowskie,2013-04-17 00:00:00
małopolskie,Wyroby piekarnicze i cukiernicze,Sernik królewski,2013-04-17 00:00:00
małopolskie,Gotowe dania i potrawy,Kaszana – kiszka z kapustą zasmażaną,2013-04-24 00:00:00
małopolskie,Gotowe dania i potrawy,Prażone – prażonki polańskie,2013-04-24 00:00:00
małopolskie,Mięso świeże oraz produkty mięsne,Karp w zalewie octowej,2013-04-24 00:00:00
małopolskie,Mięso świeże oraz produkty mięsne,Smalec jurajski gotowany,2013-06-03 00:00:00
małopolskie,Mięso świeże oraz produkty mięsne,Kiełbasa piaszczańska,2013-06-03 00:00:00
małopolskie,Mięso świeże oraz produkty mięsne,Tuszka gołębia rasy Ryś Polski z okolic Proszowic,2013-06-03 00:00:00
małopolskie,Wyroby piekarnicze i cukiernicze,Kręciołki,2013-06-03 00:00:00
małopolskie,Miody,Miód wielkokwiatowy leśny z Podksięża,2013-06-12 00:00:00
małopolskie,Napoje (alkoholowe i bezalkoholowe),Żytko,2013-06-12 00:00:00
małopolskie,Napoje (alkoholowe i bezalkoholowe),Wino domowe „rzuchowskie”,2013-06-12 00:00:00
małopolskie,Gotowe dania i potrawy,Kapuśniorka z grzybami,2013-06-14 00:00:00
małopolskie,Napoje (alkoholowe i bezalkoholowe),Nalewka łazowska – jałowcówka,2013-06-14 00:00:00
małopolskie,Wyroby piekarnicze i cukiernicze,Placki z blachy,2013-06-14 00:00:00
małopolskie,"Oleje i tłuszcze (masło, margaryna itp.)",Masło rzuchowskie,2013-06-24 00:00:00
małopolskie,"Orzechy, nasiona, zboża, warzywa i owoce (przetworzone i nie) ",Ogórki kiszone w studni,2013-06-24 00:00:00
małopolskie,"Orzechy, nasiona, zboża, warzywa i owoce (przetworzone i nie) ",Dżem z płatków róż,2013-06-24 00:00:00
małopolskie,Gotowe dania i potrawy,Zolipskie pirogi,2013-06-27 00:00:00
małopolskie,Mięso świeże oraz produkty mięsne,Wołowina z krowy rasy polskiej czerwono-białej,2013-06-27 00:00:00
małopolskie,Gotowe dania i potrawy,Strojcowskie zawijoki z ziemniaków,2013-07-18 00:00:00
małopolskie,"Orzechy, nasiona, zboża, warzywa i owoce (przetworzone i nie) ",Nadwiślański ogórek konserwowy z Kanny,2013-07-18 00:00:00
małopolskie,Wyroby piekarnicze i cukiernicze,Chleb żytni gruszowski,2013-07-18 00:00:00
małopolskie,Wyroby piekarnicze i cukiernicze,Blachorze,2013-07-18 00:00:00
małopolskie,Sery i inne produkty mleczne,Gomółki kowalowskie,2013-08-19 00:00:00
małopolskie,Wyroby piekarnicze i cukiernicze,Prołzioki,2013-08-19 00:00:00
małopolskie,Gotowe dania i potrawy,Rosół polski,2013-08-26 00:00:00
małopolskie,Napoje (alkoholowe i bezalkoholowe),Imbirówka iwkowska,2013-08-26 00:00:00
małopolskie,"Orzechy, nasiona, zboża, warzywa i owoce (przetworzone i nie) ",Susorki iwkowskie,2013-08-26 00:00:00
małopolskie,Wyroby piekarnicze i cukiernicze,Kukiełka uszewska,2013-08-26 00:00:00
małopolskie,"Orzechy, nasiona, zboża, warzywa i owoce (przetworzone i nie) ",Zakliczyński sok malinowy,2013-10-01 00:00:00
małopolskie,"Orzechy, nasiona, zboża, warzywa i owoce (przetworzone i nie) ",Konfitura borówkowo-jabłkowa,2013-10-01 00:00:00
małopolskie,Mięso świeże oraz produkty mięsne,Kiełbasa proszowicka ze słoja,2013-10-09 00:00:00
małopolskie,Wyroby piekarnicze i cukiernicze,Wojnickie kukiełki,2013-10-09 00:00:00
małopolskie,Wyroby piekarnicze i cukiernicze,Podpłomyk z cebulą,2013-10-09 00:00:00
małopolskie,Napoje (alkoholowe i bezalkoholowe),Miodówka pogórska,2014-01-24 00:00:00
małopolskie,Gotowe dania i potrawy,Kasza pęcak z kapustą,2014-02-25 00:00:00
małopolskie,Napoje (alkoholowe i bezalkoholowe),Polywka,2014-02-25 00:00:00
małopolskie,Mięso świeże oraz produkty mięsne,Boczek duszony w piwie,2014-03-28 00:00:00
małopolskie,Mięso świeże oraz produkty mięsne,Karp osiecki,2014-06-06 00:00:00
małopolskie,Napoje (alkoholowe i bezalkoholowe),Lipnicka lipina,2014-06-06 00:00:00
małopolskie,Wyroby piekarnicze i cukiernicze,Razowiec lipnicki,2014-06-06 00:00:00
małopolskie,Inne produkty,Wiśnicki makaron domowy tradycyjny,2014-07-31 00:00:00
małopolskie,Mięso świeże oraz produkty mięsne,Mięso ze słoja z okolic Proszowic,2014-08-07 00:00:00
małopolskie,Wyroby piekarnicze i cukiernicze,Podpłomyk lelowicki,2014-08-07 00:00:00
małopolskie,Gotowe dania i potrawy,Fitka z Lelowic,2014-10-07 00:00:00
małopolskie,Gotowe dania i potrawy,Siuśbak - kasza z grochem,2014-10-07 00:00:00
małopolskie,Gotowe dania i potrawy,Wolańska kura nadziewana - peerelka,2014-10-07 00:00:00
małopolskie,Mięso świeże oraz produkty mięsne,Kiełbasa wiejska z Proszówek,2014-10-27 00:00:00
małopolskie,Mięso świeże oraz produkty mięsne,Baleron wędzony z Proszówek,2014-10-27 00:00:00
małopolskie,Mięso świeże oraz produkty mięsne,Schab wędzony z Proszówek,2014-10-27 00:00:00
małopolskie,Mięso świeże oraz produkty mięsne,Szynka wędzona z Proszówek ,2014-10-27 00:00:00
małopolskie,Mięso świeże oraz produkty mięsne,Boczek wiejski z Proszówek,2014-10-27 00:00:00
małopolskie,Mięso świeże oraz produkty mięsne,Kiełbasa wiejska iwkowska,2014-11-14 00:00:00
małopolskie,Mięso świeże oraz produkty mięsne,Wędzonka iwkowska,2014-11-14 00:00:00
małopolskie,Mięso świeże oraz produkty mięsne,Szynka iwkowska,2014-11-14 00:00:00
małopolskie,Wyroby piekarnicze i cukiernicze,Chleb świąteczny,2014-11-14 00:00:00
małopolskie,Mięso świeże oraz produkty mięsne,Kiełbasa podhalańska ze Skrzypnego,2014-12-09 00:00:00
małopolskie,Mięso świeże oraz produkty mięsne,Kiełbasa wiejska sądecka,2014-12-22 00:00:00
małopolskie,Mięso świeże oraz produkty mięsne,Polędwica wiejska sądecka tradycyjna,2014-12-22 00:00:00
małopolskie,Mięso świeże oraz produkty mięsne,Szynka swojska sądecka tradycyjna,2014-12-22 00:00:00
małopolskie,Mięso świeże oraz produkty mięsne,Karczek sądecki tradycyjny,2014-12-22 00:00:00
małopolskie,Sery i inne produkty mleczne,Sery twarogowe niedojrzewające,2014-12-22 00:00:00
małopolskie,Mięso świeże oraz produkty mięsne,Wędzonka sądecka tradycyjna,2015-01-16 00:00:00
małopolskie,Mięso świeże oraz produkty mięsne,Golonka sądecka tradycyjna,2015-01-16 00:00:00
małopolskie,Mięso świeże oraz produkty mięsne,Boczek sądecki tradycyjny,2015-01-16 00:00:00
małopolskie,Napoje (alkoholowe i bezalkoholowe),Fasolówka,2015-01-16 00:00:00
